Place,State,Latitude,Longitude
Pune,Maharashtra,18.5213738,73.8545071
Bengaluru,Karnataka,12.9881567,77.6226
New Delhi,Delhi,28.6430858,77.2192671
Krishnagiri,Tamil Nadu,12.5152075,78.0093769
Chennai,Tamil Nadu,13.0836939,80.270186
Hosur,Tamil Nadu,12.7183361,77.8229481
Halol,Gujarat,22.5058547,73.4715851
Gurgaon,Haryana,28.4646148,77.0299194
Coimbatore,Tamil Nadu,11.0018115,76.9628425
Bhiwadi,Rajasthan,28.2039413,76.837441
Sriperumbudur,Tamil Nadu,12.9666144,79.9458077
Faridabad,Haryana,28.4031478,77.3105561
Baramati,Maharashtra,18.2198537,74.4534054
Dharuhera,Haryana,28.2055216,76.7953099
Hyderabad,Telangana,17.360589,78.4740613
Bhuj,Gujarat,23.2472446,69.668339
Kolkata,West Bengal,22.5726459,88.3638953
Mumbai,Maharashtra,19.054999,72.8692035
Manesar,Haryana,28.3247096,76.9263787
Thiruvallur,Tamil Nadu,13.2537619,80.0562572
Aurangabad,Maharashtra,19.877263,75.3390241
Chakan,Maharashtra,18.7623111,73.8625448
Anantapur,Andhra Pradesh,14.72422,77.4306738
Pithampur,Madhya Pradesh,22.6105576,75.6790283
Uttarpara,West Bengal,22.6670459,88.3411458
Rajkot,Gujarat,22.3053263,70.8028377
Ropar,Punjab,30.9688367,76.526088
Morbi,Gujarat,22.8003959,70.886232
Alwar,Rajasthan,27.4140048,76.6170387
Jaipur,Rajasthan,26.9154576,75.8189817
Akurdi,Maharashtra,18.6486417,73.7647081
Kashipur,Uttarakhand,29.2117573,78.9617306
Gurugram,Haryana,28.4646148,77.0299194
Ahmednagar,Maharashtra,19.1627725,74.8580243
Delhi,Delhi,28.6517178,77.2219388
Ahmedabad,Gujarat,23.0215374,72.5800568
